match_id,team,xg_for,xg_against,onclick,match,tooltip_lab
3916118,Portsmouth,1.49,0.8,"window.open(""https://www.fotmob.com//match/3916118/matchfacts/fleetwood-town-vs-portsmouth"")",Fleetwood Town vs Portsmouth,"<b>Match</b>: Fleetwood Town vs Portsmouth
<b>xG For</b>: 1.49
<b>xG Against</b>: 0.8"
3916122,Charlton Athletic,2.05,0.92,"window.open(""https://www.fotmob.com//match/3916122/matchfacts/charlton-athletic-vs-barnsley"")",Charlton Athletic vs Barnsley,"<b>Match</b>: Charlton Athletic vs Barnsley
<b>xG For</b>: 2.05
<b>xG Against</b>: 0.92"
3916122,Barnsley,0.92,2.05,"window.open(""https://www.fotmob.com//match/3916122/matchfacts/charlton-athletic-vs-barnsley"")",Charlton Athletic vs Barnsley,"<b>Match</b>: Charlton Athletic vs Barnsley
<b>xG For</b>: 0.92
<b>xG Against</b>: 2.05"
3916123,Derby County,0.85,0.31,"window.open(""https://www.fotmob.com//match/3916123/matchfacts/derby-county-vs-bolton-wanderers"")",Derby County vs Bolton Wanderers,"<b>Match</b>: Derby County vs Bolton Wanderers
<b>xG For</b>: 0.85
<b>xG Against</b>: 0.31"
3916123,Bolton Wanderers,0.31,0.85,"window.open(""https://www.fotmob.com//match/3916123/matchfacts/derby-county-vs-bolton-wanderers"")",Derby County vs Bolton Wanderers,"<b>Match</b>: Derby County vs Bolton Wanderers
<b>xG For</b>: 0.31
<b>xG Against</b>: 0.85"
3916125,Barnsley,1.37,1.28,"window.open(""https://www.fotmob.com//match/3916125/matchfacts/barnsley-vs-accrington-stanley"")",Barnsley vs Accrington Stanley,"<b>Match</b>: Barnsley vs Accrington Stanley
<b>xG For</b>: 1.37
<b>xG Against</b>: 1.28"
3916125,Accrington Stanley,1.28,1.37,"window.open(""https://www.fotmob.com//match/3916125/matchfacts/barnsley-vs-accrington-stanley"")",Barnsley vs Accrington Stanley,"<b>Match</b>: Barnsley vs Accrington Stanley
<b>xG For</b>: 1.28
<b>xG Against</b>: 1.37"
3916126,Wycombe Wanderers,0.26,0.55,"window.open(""https://www.fotmob.com//match/3916126/matchfacts/wycombe-wanderers-vs-sheffield-wednesday"")",Wycombe Wanderers vs Sheffield Wednesday,"<b>Match</b>: Wycombe Wanderers vs Sheffield Wednesday
<b>xG For</b>: 0.26
<b>xG Against</b>: 0.55"
3916126,Sheffield Wednesday,0.55,0.26,"window.open(""https://www.fotmob.com//match/3916126/matchfacts/wycombe-wanderers-vs-sheffield-wednesday"")",Wycombe Wanderers vs Sheffield Wednesday,"<b>Match</b>: Wycombe Wanderers vs Sheffield Wednesday
<b>xG For</b>: 0.55
<b>xG Against</b>: 0.26"
3916127,Port Vale,0.92,1.62,"window.open(""https://www.fotmob.com//match/3916127/matchfacts/port-vale-vs-peterborough-united"")",Port Vale vs Peterborough United,"<b>Match</b>: Port Vale vs Peterborough United
<b>xG For</b>: 0.92
<b>xG Against</b>: 1.62"
3916127,Peterborough United,1.62,0.92,"window.open(""https://www.fotmob.com//match/3916127/matchfacts/port-vale-vs-peterborough-united"")",Port Vale vs Peterborough United,"<b>Match</b>: Port Vale vs Peterborough United
<b>xG For</b>: 1.62
<b>xG Against</b>: 0.92"
