match_id,team,xg_for,xg_against,onclick,match,tooltip_lab
3916084,Milton Keynes Dons,1.02,1.61,"window.open(""https://www.fotmob.com//match/3916084/matchfacts/portsmouth-vs-milton-keynes-dons"")",Portsmouth vs Milton Keynes Dons,"<b>Match</b>: Portsmouth vs Milton Keynes Dons
<b>xG For</b>: 1.02
<b>xG Against</b>: 1.61"
3916085,Sheffield Wednesday,1.11,1.83,"window.open(""https://www.fotmob.com//match/3916085/matchfacts/sheffield-wednesday-vs-oxford-united"")",Sheffield Wednesday vs Oxford United,"<b>Match</b>: Sheffield Wednesday vs Oxford United
<b>xG For</b>: 1.11
<b>xG Against</b>: 1.83"
3916085,Oxford United,1.83,1.11,"window.open(""https://www.fotmob.com//match/3916085/matchfacts/sheffield-wednesday-vs-oxford-united"")",Sheffield Wednesday vs Oxford United,"<b>Match</b>: Sheffield Wednesday vs Oxford United
<b>xG For</b>: 1.83
<b>xG Against</b>: 1.11"
3916086,Fleetwood Town,1.16,1.09,"window.open(""https://www.fotmob.com//match/3916086/matchfacts/fleetwood-town-vs-sheffield-wednesday"")",Fleetwood Town vs Sheffield Wednesday,"<b>Match</b>: Fleetwood Town vs Sheffield Wednesday
<b>xG For</b>: 1.16
<b>xG Against</b>: 1.09"
3916086,Sheffield Wednesday,1.09,1.16,"window.open(""https://www.fotmob.com//match/3916086/matchfacts/fleetwood-town-vs-sheffield-wednesday"")",Fleetwood Town vs Sheffield Wednesday,"<b>Match</b>: Fleetwood Town vs Sheffield Wednesday
<b>xG For</b>: 1.09
<b>xG Against</b>: 1.16"
3916087,Exeter City,1.21,0.84,"window.open(""https://www.fotmob.com//match/3916087/matchfacts/exeter-city-vs-portsmouth"")",Exeter City vs Portsmouth,"<b>Match</b>: Exeter City vs Portsmouth
<b>xG For</b>: 1.21
<b>xG Against</b>: 0.84"
3916087,Portsmouth,0.84,1.21,"window.open(""https://www.fotmob.com//match/3916087/matchfacts/exeter-city-vs-portsmouth"")",Exeter City vs Portsmouth,"<b>Match</b>: Exeter City vs Portsmouth
<b>xG For</b>: 0.84
<b>xG Against</b>: 1.21"
3916088,Cheltenham Town,1.23,0.57,"window.open(""https://www.fotmob.com//match/3916088/matchfacts/cheltenham-town-vs-plymouth-argyle"")",Cheltenham Town vs Plymouth Argyle,"<b>Match</b>: Cheltenham Town vs Plymouth Argyle
<b>xG For</b>: 1.23
<b>xG Against</b>: 0.57"
3916088,Plymouth Argyle,0.57,1.23,"window.open(""https://www.fotmob.com//match/3916088/matchfacts/cheltenham-town-vs-plymouth-argyle"")",Cheltenham Town vs Plymouth Argyle,"<b>Match</b>: Cheltenham Town vs Plymouth Argyle
<b>xG For</b>: 0.57
<b>xG Against</b>: 1.23"
3916089,Charlton Athletic,1.48,1.88,"window.open(""https://www.fotmob.com//match/3916089/matchfacts/charlton-athletic-vs-peterborough-united"")",Charlton Athletic vs Peterborough United,"<b>Match</b>: Charlton Athletic vs Peterborough United
<b>xG For</b>: 1.48
<b>xG Against</b>: 1.88"
3916089,Peterborough United,1.88,1.48,"window.open(""https://www.fotmob.com//match/3916089/matchfacts/charlton-athletic-vs-peterborough-united"")",Charlton Athletic vs Peterborough United,"<b>Match</b>: Charlton Athletic vs Peterborough United
<b>xG For</b>: 1.88
<b>xG Against</b>: 1.48"
3916090,Burton Albion,1.72,0.33,"window.open(""https://www.fotmob.com//match/3916090/matchfacts/burton-albion-vs-lincoln-city"")",Burton Albion vs Lincoln City,"<b>Match</b>: Burton Albion vs Lincoln City
<b>xG For</b>: 1.72
<b>xG Against</b>: 0.33"
3916090,Lincoln City,0.33,1.72,"window.open(""https://www.fotmob.com//match/3916090/matchfacts/burton-albion-vs-lincoln-city"")",Burton Albion vs Lincoln City,"<b>Match</b>: Burton Albion vs Lincoln City
<b>xG For</b>: 0.33
<b>xG Against</b>: 1.72"
3916091,Bolton Wanderers,0.83,0.61,"window.open(""https://www.fotmob.com//match/3916091/matchfacts/bolton-wanderers-vs-derby-county"")",Bolton Wanderers vs Derby County,"<b>Match</b>: Bolton Wanderers vs Derby County
<b>xG For</b>: 0.83
<b>xG Against</b>: 0.61"
